stationcode,name,address,latitude,longitude,brand
8398,Ampol Foodary Murwillumbah,"1-7 Buchanan St, SOUTH MURWILLUMBAH NSW 2484",-28.3268979,153.4093121,Ampol Foodary
9777,Boland Petroleum,"101 Gosport St, MOREE NSW 2400",-29.476258,149.8475,Ampol
9792,Boland Petroleum,"1-5 James St, NARRABRI NSW 2390",-30.3296288,149.7936588,Ampol
14081,Independent SCONE,"236 Kelly St, SCONE NSW 2337",-32.0550787,150.8693514,Independent
16874,BP Riverstone,"196 Riverstone Pde, RIVERSTONE NSW 2765",-33.6648441,150.8551245,BP
16879,Paterson Service Station,"26 King St, King Street, Paterson NSW 2421",-32.598801,151.617956,Independent
16882,Tabourie Tuckerbox,"70 Princess Highway, LAKE TABOURIE NSW 2539",-35.434948,150.403262,Independent
16884,Independent Berridale,"68 Jindabyne Rd, BERRIDALE NSW 2628",-36.3654151,148.8270027,Independent
16887,U-Go Taren Point,"114 Taren Point Rd, TAREN POINT NSW 2229",-34.0206558,151.1218918,U-Go
16888,Billabong Takeaway & LPO,"5 Forbes Street, YEOVAL NSW 2868",-32.7537301,148.6479241,Independent
16890,Ampol Foodary Gilgandra,"6425 Newell Hwy, GILGANDRA NSW 2827",-31.7254443,148.6527967,Ampol Foodary
16896,Lowes Petroleum Service,"13 Midkin St, GARAH NSW 2405",-29.0739201,149.6336136,Lowes
16898,Ampol Foodary Mudgee,"114-118 Church St, MUDGEE NSW 2850",-32.5942803,149.5876199,Ampol Foodary
16899,Transwest Fuels,"50e Fitzroy St, WALCHA NSW 2354",-30.9860216,151.5961045,Transwest Fuels
16900,TASCO Wentworth,"17 Sandwych St, WENTWORTH NSW 2648",-34.1067925,141.917973,Ampol
16904,Enhance Lithgow,"151 Mort St, LITHGOW NSW 2790",-33.4809941,150.1630228,Enhance
16905,Mobil Nowra,"215 Kinghorne St, NOWRA NSW 2541",-34.8907243,150.6012047,Mobil
16907,Ampol Foodary Coogee South,"169-173 Malabar Rd, SOUTH COOGEE NSW 2034",-33.9323319,151.2574379,Ampol Foodary
16908,Ampol Foodary Merrylands,"150 Woodville Rd, MERRYLANDS NSW 2160",-33.838025,150.99969,Ampol Foodary
16909,Ampol Foodary Alexandria,"133 Wyndham Street, ALEXANDRIA NSW 2015",-33.902032,151.200054,Ampol Foodary
16911,Ampol Foodary Kooringal,"265-267 Lake Albert Rd, KOORINGAL NSW 2650",-35.1407736,147.3755366,Ampol Foodary
16914,Ampol Foodary Wagga Wagga,"56 Docker St, WAGGA WAGGA NSW 2650",-35.1173827,147.3558074,Ampol Foodary
16913,Ampol Foodary Gumly Gumly,"Caltex 3723 Hwy, GUMLY GUMLY NSW 2652",-35.136094,147.442429,Ampol Foodary
16915,Ampol Foodary Lansvale,"141-151 Hume Highway Cnr Chadderton St, LANSVALE NSW 2166",-33.894328,150.957208,Ampol Foodary
16916,Ampol Foodary Cabramatta,"166 John St, CABRAMATTA NSW 2166",-33.8942945,150.9280257,Ampol Foodary
16917,7- Eleven Towradgi,"162-166 Pioneer Rd, TOWRADGI NSW 2518",-34.3841162,150.9064844,7-Eleven
16919,Ampol Foodary Moonbi,"16-18 Gill St, MOONBI NSW 2353",-31.0230276,151.0699263,Ampol Foodary
16921,Ampol Foodary Tamworth Orana,"21 White St Cnr Marius St, Tamworth NSW 2350",-31.092552,150.9342661,Ampol Foodary
16924,Budget Petrol Chippendale,"66-70 Regent Street, CHIPPENDALE NSW 2008",-33.8878,151.2017441,Budget
17087,Ampol Foodary Port Macquarie,"100 Hastings River Dr, PORT MACQUARIE NSW 2444",-31.4290224,152.8820097,Ampol Foodary
17105,Lowes Petroleum Service,"1 Mclennan Street, ARMIDALE NSW 2350",-30.511283,151.648329,Lowes
17106,7-Eleven Karabar,"2 Southqueen Pl, KARABAR NSW 2620",-35.371414,149.232741,7-Eleven
17109,BP Riverwood,"189-191 Belmore Rd, RIVERWOOD NSW 2210",-33.9556874,151.0511924,BP
17110,Baldwin Automotive,"631 McGowen St, BROKEN HILL NSW 2880",-31.9392219,141.4728025,Independent
17112,Astron Lidsdale,"1 Castlereagh Highway, LIDSDALE NSW 2790",-33.396585,150.083725,ASTRON
17115,Mobil Coolamon,"84 Cowabbie St, COOLAMON NSW 2701",-34.81678,147.200138,Mobil
17116,Mobil Narrandera,"74 Whitton St, NARRANDERA NSW 2700",-34.7413487,146.5557829,Mobil
17117,JONES PANELBEATING,"72 Bolaro St, DUNEDOO NSW 2844",-32.016523,149.3950546,Independent
17119,7-Eleven Camperdown,"198 Parramatta Rd, CAMPERDOWN NSW 2050",-33.886973,151.174134,7-Eleven
17120,7-Eleven McGraths Hill,"142 Windsor Rd, MCGRATHS HILL NSW 2756",-33.6168487,150.8341844,7-Eleven
17121,7-Eleven Paddington,"Cnr Oxford St & Greens Rd, PADDINGTON NSW 2021",-33.883242,151.220641,7-Eleven
17122,7-Eleven Woolooware,"192-198 The Kingsway, WOOLOOWARE NSW 2230",-34.046318,151.133545,7-Eleven
17123,7-Eleven Dapto,"125-127 Princes Hwy, DAPTO NSW 2530",-34.4987718,150.7914054,7-Eleven
17127,7-Eleven Sans Souci,"474-478 Rocky Point Rd, SANS SOUCI NSW 2219",-33.9908775,151.1333852,7-Eleven
17128,7-Eleven Prairewood,"485-487 Smithfield Road, PRAIRIEWOOD NSW 2176",-33.871082,150.902893,7-Eleven
